asset_ref,taxonomy,lon,lat,probability(structural-no_damage),probability(structural-slight),probability(structural-moderate),probability(structural-extensive),probability(structural-complete)
CA-T6075022702-PC-C2,C2H-PC,-1.22E+02,3.78E+01,0.0433,0.1675,0.0935,0.0991,0.6
CA-T6075022702-PC-C3,C3H-PC,-1.22E+02,3.78E+01,0.0307,0.1111,0.1401,0.0972,0.62
CA-T6075022702-PC-PC,PC2H-PC,-1.22E+02,3.78E+01,0.138,0.0201,0.1806,0.0609,0.6
CA-T6075022702-PC-RM,RM2H-PC,-1.22E+02,3.78E+01,0.1037,0.0618,0.1177,0.0649,0.65
CA-T6075061500-PC-C2,C2L-PC,-1.22E+02,3.78E+01,0.0367,0.0553,0.0783,0.0686,0.76
CA-T6075061500-PC-C3,C3L-PC,-1.22E+02,3.78E+01,0.1843,0.0897,0.0812,0.0611,0.58
CA-T6075061500-PC-MH,MH-PC,-1.22E+02,3.78E+01,0.015,0.036,0.1389,0.0735,0.74
CA-T6075061500-PC-PC,PC2L-PC,-1.22E+02,3.78E+01,0.2317,0.1486,0.15,0.0576,0.41
CA-T6075061500-PC-RM,RM1L-PC,-1.22E+02,3.78E+01,0.1345,0.0077,0.1517,0.1091,0.6
CA-T6075061500-PC-S3,S3-PC,-1.22E+02,3.78E+01,0.2246,0.1842,0.0557,0.1389,0.4
CA-T6075061500-PC-S4,S4L-PC,-1.22E+02,3.78E+01,0.0594,0.1877,0.0306,0.1153,0.61
CA-T6075061500-PC-S5,S5L-PC,-1.22E+02,3.78E+01,0.2139,0.1617,0.0129,0.1217,0.49
CA-T6075061500-PC-UR,URML-PC,-1.22E+02,3.78E+01,0.2231,0.1525,0.1719,0.1004,0.35
CA-T6075061500-PC-W1,W1-PC,-1.22E+02,3.78E+01,0.1504,0.1354,0.1134,0.0337,0.57
CA-T6075061500-PC-S1,S1M-PC,-1.22E+02,3.78E+01,0.1034,0.1207,0.0676,0.1137,0.59
CA-T6075061500-PC-S2,S2M-PC,-1.22E+02,3.78E+01,0.2169,0.0329,0.1113,0.0798,0.56
CA-T6075061500-PC-S4,S4M-PC,-1.22E+02,3.78E+01,0.1094,0.0706,0.043,0.0025,0.77
CA-T6075061500-PC-C1,C1M-PC,-1.22E+02,3.78E+01,0.0453,0.0225,0.186,0.1387,0.61
CA-T6075061500-PC-C2,C2M-PC,-1.22E+02,3.78E+01,0.1932,0.0652,0.0466,0.1337,0.56
CA-T6075061500-PC-C3,C3M-PC,-1.22E+02,3.78E+01,0.1809,0.0752,0.0451,0.164,0.53
CA-T6075061500-PC-PC,PC2M-PC,-1.22E+02,3.78E+01,0.1272,0.0004,0.0559,0.077,0.74
CA-T6075061500-PC-RM,RM1M-PC,-1.22E+02,3.78E+01,0.211,0.0805,0.1393,0.0717,0.5
CA-T6075061500-PC-RM,RM2M-PC,-1.22E+02,3.78E+01,0.2466,0.1342,0.18,0.0596,0.38
CA-T6075061500-PC-UR,URMM-PC,-1.22E+02,3.78E+01,0.0114,0.0556,0.1798,0.0467,0.71
CA-T6075061500-PC-S1,S1H-PC,-1.22E+02,3.78E+01,0.0624,0.0232,0.1303,0.1691,0.61
CA-T6075061500-PC-S2,S2H-PC,-1.22E+02,3.78E+01,0.2239,0.1175,0.0125,0.0081,0.64
CA-T6075061500-PC-S4,S4H-PC,-1.22E+02,3.78E+01,0.1983,0.0063,0.0466,0.0847,0.66
CA-T6075061500-PC-C1,C1H-PC,-1.22E+02,3.78E+01,0.1947,0.1578,0.0407,0.0989,0.51
CA-T6075061500-PC-C2,C2H-PC,-1.22E+02,3.78E+01,0.2011,0.0206,0.0519,0.0621,0.66
CA-T6075061500-PC-C3,C3H-PC,-1.22E+02,3.78E+01,0.2098,0.1332,0.1807,0.0715,0.4
CA-T6075061500-PC-PC,PC2H-PC,-1.22E+02,3.78E+01,0.111,0.0393,0.1035,0.0845,0.66
CA-T6075061500-PC-RM,RM2H-PC,-1.22E+02,3.78E+01,0.1737,0.0116,0.0614,0.1269,0.63
CA-T6081604400-PC-C2,C2L-PC,-1.22E+02,3.76E+01,0.1914,0.0764,0.1199,0.0285,0.58
CA-T6081604400-PC-C3,C3L-PC,-1.22E+02,3.76E+01,0.1766,0.1825,0.1946,0.1777,0.27
CA-T6081604400-PC-MH,MH-PC,-1.22E+02,3.76E+01,0.2489,0.1803,0.0845,0.0479,0.44
CA-T6081604400-PC-PC,PC2L-PC,-1.22E+02,3.76E+01,0.1481,0.1583,0.038,0.134,0.52
CA-T6081604400-PC-RM,RM1L-PC,-1.22E+02,3.76E+01,0.1748,0.1601,0.108,0.1951,0.36
CA-T6081604400-PC-S1,S1L-PC,-1.22E+02,3.76E+01,0.1961,0.0086,0.1234,0.0844,0.59
CA-T6081604400-PC-S2,S2L-PC,-1.22E+02,3.76E+01,0.135,0.0082,0.1932,0.009,0.65
CA-T6081604400-PC-S3,S3-PC,-1.22E+02,3.76E+01,0.1034,0.1271,0.001,0.0971,0.67
CA-T6081604400-PC-S4,S4L-PC,-1.22E+02,3.76E+01,0.1302,0.1802,0.1182,0.1226,0.45
CA-T6081604400-PC-S5,S5L-PC,-1.22E+02,3.76E+01,0.0829,0.0451,0.1671,0.0434,0.66
CA-T6081604400-PC-UR,URML-PC,-1.22E+02,3.76E+01,0.1637,0.1102,0.0671,0.0001,0.66
CA-T6081604400-PC-W1,W1-PC,-1.22E+02,3.76E+01,0.1729,0.1532,0.1208,0.103,0.45
CA-T6081604400-PC-S1,S1M-PC,-1.22E+02,3.76E+01,0.2299,0.05,0.0248,0.1456,0.55
CA-T6081604400-PC-S2,S2M-PC,-1.22E+02,3.76E+01,0.1515,0.1261,0.0792,0.1842,0.46
CA-T6081604400-PC-S4,S4M-PC,-1.22E+02,3.76E+01,0.1217,0.1106,0.1767,0.0479,0.54
CA-T6081604400-PC-C1,C1M-PC,-1.22E+02,3.76E+01,0.0474,0.1917,0.1197,0.1239,0.52
CA-T6081604400-PC-C2,C2M-PC,-1.22E+02,3.76E+01,0.1325,0.1177,0.1924,0.1332,0.42
CA-T6081604400-PC-C3,C3M-PC,-1.22E+02,3.76E+01,0.2231,0.0779,0.1768,0.1846,0.34
CA-T6081604400-PC-PC,PC2M-PC,-1.22E+02,3.76E+01,0.1746,0.1691,0.027,0.1366,0.49
CA-T6081604400-PC-RM,RM1M-PC,-1.22E+02,3.76E+01,0.2467,0.0022,0.1698,0.0499,0.53
CA-T6081604400-PC-RM,RM2M-PC,-1.22E+02,3.76E+01,0.1503,0.1905,0.1154,0.0846,0.46
CA-T6081604400-PC-UR,URMM-PC,-1.22E+02,3.76E+01,0.2394,0.0328,0.0724,0.1168,0.54
CA-T6081604400-PC-S1,S1H-PC,-1.22E+02,3.76E+01,0.2292,0.0735,0.1975,0.184,0.32
CA-T6081604400-PC-S2,S2H-PC,-1.22E+02,3.76E+01,0.1245,0.1939,0.1697,0.1916,0.32
CA-T6081604400-PC-S4,S4H-PC,-1.22E+02,3.76E+01,0.2022,0.0249,0.1022,0.1009,0.57
CA-T6081604400-PC-C1,C1H-PC,-1.22E+02,3.76E+01,0.1466,0.0108,0.1708,0.1404,0.53
CA-T6081604400-PC-C2,C2H-PC,-1.22E+02,3.76E+01,0.0285,0.0619,0.0886,0.0486,0.77
CA-T6081604400-PC-C3,C3H-PC,-1.22E+02,3.76E+01,0.2093,0.1306,0.0256,0.1802,0.45
CA-T6081604400-PC-PC,PC2H-PC,-1.22E+02,3.76E+01,0.2326,0.1229,0.0244,0.1558,0.46
CA-T6081604400-PC-RM,RM2H-PC,-1.22E+02,3.76E+01,0.2149,0.0636,0.1077,0.0702,0.54
CA-T6075061200-PC-C2,C2L-PC,-1.22E+02,3.77E+01,0.1456,0.0362,0.0109,0.1278,0.68
CA-T6075061200-PC-C3,C3L-PC,-1.22E+02,3.77E+01,0.0199,0.037,0.1837,0.031,0.73
CA-T6075061200-PC-MH,MH-PC,-1.22E+02,3.77E+01,0.2093,0.0989,0.0451,0.1424,0.5
CA-T6075061200-PC-PC,PC2L-PC,-1.22E+02,3.77E+01,0.0606,0.1879,0.0735,0.0638,0.61
CA-T6075061200-PC-RM,RM1L-PC,-1.22E+02,3.77E+01,0.2199,0.1961,0.124,0.0535,0.41
CA-T6075061200-PC-S1,S1L-PC,-1.22E+02,3.77E+01,0.0297,0.1336,0.088,0.1146,0.63
CA-T6075061200-PC-S2,S2L-PC,-1.22E+02,3.77E+01,0.0088,0.0976,0.181,0.0124,0.7
CA-T6075061200-PC-S3,S3-PC,-1.22E+02,3.77E+01,0.1388,0.1845,0.07,0.1409,0.47
CA-T6075061200-PC-S4,S4L-PC,-1.22E+02,3.77E+01,0.2405,0.1237,0.1018,0.0414,0.49
CA-T6075061200-PC-S5,S5L-PC,-1.22E+02,3.77E+01,0.1352,0.1297,0.0943,0.1691,0.47
CA-T6075061200-PC-UR,URML-PC,-1.22E+02,3.77E+01,0.1243,0.0878,0.0469,0.0016,0.74
CA-T6075061200-PC-W1,W1-PC,-1.22E+02,3.77E+01,0.2102,0.1575,0.0472,0.0592,0.53
CA-T6075061200-PC-S1,S1M-PC,-1.22E+02,3.77E+01,0.0022,0.1473,0.189,0.0367,0.62
CA-T6075061200-PC-S2,S2M-PC,-1.22E+02,3.77E+01,0.0581,0.0949,0.0328,0.1281,0.69
CA-T6075061200-PC-S4,S4M-PC,-1.22E+02,3.77E+01,0.1911,0.0831,0.1229,0.1106,0.49
CA-T6075061200-PC-C1,C1M-PC,-1.22E+02,3.77E+01,0.1732,0.0759,0.0905,0.1015,0.56
CA-T6075061200-PC-C2,C2M-PC,-1.22E+02,3.77E+01,0.0902,0.0713,0.0115,0.1406,0.69
CA-T6075061200-PC-C3,C3M-PC,-1.22E+02,3.77E+01,0.1535,0.0883,0.1232,0.1011,0.53
CA-T6075061200-PC-PC,PC2M-PC,-1.22E+02,3.77E+01,0.211,0.107,0.1067,0.1943,0.38
CA-T6075061200-PC-RM,RM1M-PC,-1.22E+02,3.77E+01,0.0108,0.0381,0.0549,0.1777,0.72
CA-T6075061200-PC-RM,RM2M-PC,-1.22E+02,3.77E+01,0.0482,0.0483,0.1536,0.1574,0.59
CA-T6075061200-PC-UR,URMM-PC,-1.22E+02,3.77E+01,0.0919,0.1298,0.1564,0.0235,0.6
CA-T6075061200-PC-S1,S1H-PC,-1.22E+02,3.77E+01,0.1451,0.0584,0.0058,0.1088,0.68
CA-T6075061200-PC-S2,S2H-PC,-1.22E+02,3.77E+01,0.1591,0.0363,0.0581,0.0133,0.73
CA-T6075061200-PC-S4,S4H-PC,-1.22E+02,3.77E+01,0.226,0.1769,0.1065,0.0887,0.4
CA-T6075061200-PC-C1,C1H-PC,-1.22E+02,3.77E+01,0.182,0.0748,0.0817,0.0464,0.62
CA-T6075061200-PC-C2,C2H-PC,-1.22E+02,3.77E+01,0.0095,0.0047,0.0063,0.0471,0.93
CA-T6075061200-PC-C3,C3H-PC,-1.22E+02,3.77E+01,0.0628,0.0108,0.0017,0.068,0.86
CA-T6075061200-PC-PC,PC2H-PC,-1.22E+02,3.77E+01,0.2229,0.0986,0.0713,0.0619,0.55
CA-T6075061200-PC-RM,RM2H-PC,-1.22E+02,3.77E+01,0.0226,0.1873,0.0389,0.1294,0.62
CA-T6075023400-PC-C2,C2L-PC,-1.22E+02,3.77E+01,0.2458,0.0595,0.121,0.1119,0.46
CA-T6075023400-PC-C3,C3L-PC,-1.22E+02,3.77E+01,0.2434,0.0083,0.1772,0.1976,0.37
CA-T6075023400-PC-MH,MH-PC,-1.22E+02,3.77E+01,0.0267,0.1075,0.1333,0.0929,0.64
CA-T6075023400-PC-RM,RM1L-PC,-1.22E+02,3.77E+01,0.141,0.1588,0.0755,0.0871,0.54
CA-T6075023400-PC-S1,S1L-PC,-1.22E+02,3.77E+01,0.1467,0.0085,0.1895,0.0742,0.58
CA-T6075023400-PC-S2,S2L-PC,-1.22E+02,3.77E+01,0.1836,0.1931,0.1299,0.1875,0.31
CA-T6075023400-PC-S3,S3-PC,-1.22E+02,3.77E+01,0.0228,0.0961,0.1541,0.1765,0.55
CA-T6075023400-PC-S4,S4L-PC,-1.22E+02,3.77E+01,0.0938,0.0755,0.1964,0.1657,0.47
CA-T6075023400-PC-S5,S5L-PC,-1.22E+02,3.77E+01,0.0337,0.1076,0.085,0.0391,0.73
CA-T6075023400-PC-UR,URML-PC,-1.22E+02,3.77E+01,0.1547,0.1945,0.1435,0.1949,0.31
CA-T6075023400-PC-W1,W1-PC,-1.22E+02,3.77E+01,0.0286,0.009,0.0094,0.1313,0.82
CA-T6075023400-PC-S1,S1M-PC,-1.22E+02,3.77E+01,0.2191,0.0665,0.0481,0.0187,0.65
CA-T6075023400-PC-S2,S2M-PC,-1.22E+02,3.77E+01,0.0458,0.094,0.1366,0.1325,0.59
CA-T6075023400-PC-S4,S4M-PC,-1.22E+02,3.77E+01,0.1172,0.0484,0.1225,0.0022,0.71
CA-T6075023400-PC-C1,C1M-PC,-1.22E+02,3.77E+01,0.2485,0.0301,0.1364,0.0537,0.53
CA-T6075023400-PC-C2,C2M-PC,-1.22E+02,3.77E+01,0.2244,0.0157,0.0413,0.0497,0.67
CA-T6075023400-PC-C3,C3M-PC,-1.22E+02,3.77E+01,0.0989,0.0001,0.1442,0.0274,0.73
CA-T6075023400-PC-PC,PC2M-PC,-1.22E+02,3.77E+01,0.1836,0.1154,0.0233,0.1098,0.57
CA-T6075023400-PC-RM,RM1M-PC,-1.22E+02,3.77E+01,0.0808,0.0577,0.1883,0.0874,0.59
CA-T6075023400-PC-RM,RM2M-PC,-1.22E+02,3.77E+01,0.0356,0.1587,0.08,0.1382,0.59
CA-T6075023400-PC-UR,URMM-PC,-1.22E+02,3.77E+01,0.1424,0.0411,0.1902,0.1014,0.53
CA-T6075023400-PC-S1,S1H-PC,-1.22E+02,3.77E+01,0.088,0.0962,0.0505,0.0181,0.75
CA-T6075023400-PC-S2,S2H-PC,-1.22E+02,3.77E+01,0.2067,0.0565,0.1404,0.1795,0.42
CA-T6075023400-PC-S4,S4H-PC,-1.22E+02,3.77E+01,0.0398,0.1475,0.0968,0.0713,0.64
CA-T6075023400-PC-C1,C1H-PC,-1.22E+02,3.77E+01,0.2494,0.0761,0.0123,0.1232,0.54
CA-T6075023400-PC-C2,C2H-PC,-1.22E+02,3.77E+01,0.0039,0.1554,0.1678,0.1259,0.55
CA-T6075023400-PC-C3,C3H-PC,-1.22E+02,3.77E+01,0.2383,0.1504,0.1955,0.1744,0.24
CA-T6075023400-PC-PC,PC2H-PC,-1.22E+02,3.77E+01,0.1895,0.116,0.1318,0.196,0.37
CA-T6075023400-PC-RM,RM2H-PC,-1.22E+02,3.77E+01,0.1352,0.1798,0.0804,0.001,0.6
CA-T6081605000-PC-C2,C2L-PC,-1.22E+02,3.76E+01,0.026,0.1887,0.0249,0.1954,0.56
CA-T6081605000-PC-C3,C3L-PC,-1.22E+02,3.76E+01,0.0311,0.1538,0.1347,0.0245,0.66
CA-T6081605000-PC-MH,MH-PC,-1.22E+02,3.76E+01,0.1736,0.0593,0.1866,0.0502,0.53
CA-T6081605000-PC-PC,PC2L-PC,-1.22E+02,3.76E+01,0.231,0.0039,0.1608,0.0733,0.53
CA-T6081605000-PC-RM,RM1L-PC,-1.22E+02,3.76E+01,0.1058,0.1679,0.053,0.1622,0.51
CA-T6081605000-PC-S1,S1L-PC,-1.22E+02,3.76E+01,0.2288,0.0882,0.1257,0.1317,0.43
CA-T6081605000-PC-S2,S2L-PC,-1.22E+02,3.76E+01,0.2266,0.1672,0.1859,0.1271,0.29
CA-T6081605000-PC-S3,S3-PC,-1.22E+02,3.76E+01,0.2031,0.1263,0.1504,0.004,0.52
CA-T6081605000-PC-S4,S4L-PC,-1.22E+02,3.76E+01,0.1372,0.1796,0.0414,0.0054,0.64
CA-T6081605000-PC-S5,S5L-PC,-1.22E+02,3.76E+01,0.1229,0.0051,0.0293,0.0098,0.83
CA-T6081605000-PC-UR,URML-PC,-1.22E+02,3.76E+01,0.2315,0.1183,0.1268,0.0399,0.48
CA-T6081605000-PC-W1,W1-PC,-1.22E+02,3.76E+01,0.2137,0.0691,0.1591,0.0637,0.49
CA-T6075980900-PC-C2,C2L-PC,-1.22E+02,3.77E+01,0.0325,0.1664,0.0489,0.1811,0.57
CA-T6075980900-PC-C3,C3L-PC,-1.22E+02,3.77E+01,0.1476,0.0575,0.1501,0.0948,0.55
CA-T6075980900-PC-MH,MH-PC,-1.22E+02,3.77E+01,0.1686,0.037,0.118,0.0295,0.65
CA-T6075980900-PC-RM,RM1L-PC,-1.22E+02,3.77E+01,0.1251,0.1215,0.0612,0.1464,0.55
CA-T6075980900-PC-S3,S3-PC,-1.22E+02,3.77E+01,0.1268,0.174,0.1285,0.0777,0.49
CA-T6075980900-PC-S4,S4L-PC,-1.22E+02,3.77E+01,0.0691,0.1266,0.1773,0.1782,0.45
CA-T6075980900-PC-S5,S5L-PC,-1.22E+02,3.77E+01,0.1145,0.1127,0.0727,0.1015,0.6
CA-T6075980900-PC-UR,URML-PC,-1.22E+02,3.77E+01,0.0747,0.0406,0.1302,0.0631,0.69
CA-T6075980900-PC-W1,W1-PC,-1.22E+02,3.77E+01,0.0925,0.1168,0.015,0.1463,0.63
CA-T6075980900-PC-S1,S1M-PC,-1.22E+02,3.77E+01,0.024,0.0608,0.1952,0.1336,0.59
CA-T6075980900-PC-S2,S2M-PC,-1.22E+02,3.77E+01,0.1796,0.0275,0.0679,0.0374,0.69
CA-T6075980900-PC-S4,S4M-PC,-1.22E+02,3.77E+01,0.2425,0.179,0.1506,0.0548,0.37
CA-T6075980900-PC-C1,C1M-PC,-1.22E+02,3.77E+01,0.1644,0.1178,0.0223,0.1612,0.53
CA-T6075980900-PC-C2,C2M-PC,-1.22E+02,3.77E+01,0.1429,0.0498,0.0706,0.0508,0.69
CA-T6075980900-PC-C3,C3M-PC,-1.22E+02,3.77E+01,0.1395,0.0309,0.1823,0.0614,0.59
CA-T6075980900-PC-PC,PC2M-PC,-1.22E+02,3.77E+01,0.2067,0.1712,0.0431,0.0266,0.55
CA-T6075980900-PC-RM,RM1M-PC,-1.22E+02,3.77E+01,0.0238,0.1439,0.1026,0.0401,0.69
CA-T6075980900-PC-RM,RM2M-PC,-1.22E+02,3.77E+01,0.2378,0.0759,0.1014,0.1648,0.42
CA-T6075980900-PC-UR,URMM-PC,-1.22E+02,3.77E+01,0.1045,0.1972,0.1168,0.1812,0.4
CA-T6075980900-PC-S1,S1H-PC,-1.22E+02,3.77E+01,0.1845,0.0687,0.0036,0.0254,0.72
CA-T6075980900-PC-S2,S2H-PC,-1.22E+02,3.77E+01,0.1106,0.0574,0.099,0.1126,0.62
CA-T6075980900-PC-S4,S4H-PC,-1.22E+02,3.77E+01,0.2478,0.0786,0.0255,0.1994,0.45
CA-T6075980900-PC-C1,C1H-PC,-1.22E+02,3.77E+01,0.0151,0.0322,0.0878,0.0041,0.86
CA-T6075980900-PC-C2,C2H-PC,-1.22E+02,3.77E+01,0.0781,0.0832,0.0248,0.1425,0.67
CA-T6075980900-PC-C3,C3H-PC,-1.22E+02,3.77E+01,0.0272,0.0867,0.061,0.088,0.74
CA-T6075980900-PC-PC,PC2H-PC,-1.22E+02,3.77E+01,0.2132,0.0836,0.1404,0.0598,0.5
CA-T6075980900-PC-RM,RM2H-PC,-1.22E+02,3.77E+01,0.0737,0.0295,0.1771,0.0634,0.66
CA-T6075023200-PC-C2,C2L-PC,-1.22E+02,3.77E+01,0.0925,0.1957,0.1925,0.0886,0.43
CA-T6075023200-PC-C3,C3L-PC,-1.22E+02,3.77E+01,0.1158,0.1477,0.1762,0.0225,0.54
CA-T6075023200-PC-MH,MH-PC,-1.22E+02,3.77E+01,0.024,0.1181,0.0502,0.0908,0.72
CA-T6075023200-PC-RM,RM1L-PC,-1.22E+02,3.77E+01,0.2337,0.1727,0.0787,0.1349,0.38
CA-T6075023200-PC-S1,S1L-PC,-1.22E+02,3.77E+01,0.0193,0.0587,0.0571,0.1995,0.67
CA-T6075023200-PC-S2,S2L-PC,-1.22E+02,3.77E+01,0.1128,0.0016,0.0636,0.1324,0.69
CA-T6075023200-PC-S3,S3-PC,-1.22E+02,3.77E+01,0.1267,0.0947,0.1351,0.044,0.6
CA-T6075023200-PC-S4,S4L-PC,-1.22E+02,3.77E+01,0.1485,0.0306,0.2,0.0336,0.59
CA-T6075023200-PC-S5,S5L-PC,-1.22E+02,3.77E+01,0.2351,0.0447,0.0463,0.0153,0.66
CA-T6075023200-PC-UR,URML-PC,-1.22E+02,3.77E+01,0.0283,0.0862,0.0968,0.1553,0.63
CA-T6075023200-PC-W1,W1-PC,-1.22E+02,3.77E+01,0.1323,0.0865,0.1739,0.0802,0.53
CA-T6075023200-PC-S1,S1M-PC,-1.22E+02,3.77E+01,0.159,0.0836,0.1743,0.0741,0.51
CA-T6075023200-PC-S2,S2M-PC,-1.22E+02,3.77E+01,0.1674,0.0755,0.0917,0.0367,0.63
CA-T6075023200-PC-S4,S4M-PC,-1.22E+02,3.77E+01,0.2027,0.1106,0.1499,0.1237,0.41
CA-T6075023200-PC-C1,C1M-PC,-1.22E+02,3.77E+01,0.1473,0.1786,0.1745,0.0786,0.42
CA-T6075023200-PC-C2,C2M-PC,-1.22E+02,3.77E+01,0.188,0.1214,0.0032,0.0198,0.67
CA-T6075023200-PC-C3,C3M-PC,-1.22E+02,3.77E+01,0.1686,0.1616,0.1441,0.1251,0.4
CA-T6075023200-PC-PC,PC2M-PC,-1.22E+02,3.77E+01,0.154,0.1372,0.0832,0.1723,0.45
CA-T6075023200-PC-RM,RM1M-PC,-1.22E+02,3.77E+01,0.1182,0.0091,0.0943,0.0367,0.74
CA-T6075023200-PC-RM,RM2M-PC,-1.22E+02,3.77E+01,0.2147,0.1892,0.1856,0.1705,0.24
CA-T6075023200-PC-UR,URMM-PC,-1.22E+02,3.77E+01,0.231,0.1285,0.0884,0.0843,0.47
CA-T6075023200-PC-S1,S1H-PC,-1.22E+02,3.77E+01,0.129,0.1573,0.0638,0.1103,0.54
CA-T6075023200-PC-S2,S2H-PC,-1.22E+02,3.77E+01,0.0284,0.0105,0.1238,0.034,0.8
CA-T6075023200-PC-S4,S4H-PC,-1.22E+02,3.77E+01,0.0881,0.1903,0.166,0.1805,0.38
CA-T6075023200-PC-C1,C1H-PC,-1.22E+02,3.77E+01,0.0888,0.1994,0.1864,0.0088,0.52
CA-T6075023200-PC-C2,C2H-PC,-1.22E+02,3.77E+01,0.1165,0.0843,0.0808,0.129,0.59
CA-T6075023200-PC-C3,C3H-PC,-1.22E+02,3.77E+01,0.2134,0.0068,0.0841,0.0548,0.64
CA-T6075023200-PC-PC,PC2H-PC,-1.22E+02,3.77E+01,0.0236,0.1535,0.1196,0.0557,0.65
CA-T6075023200-PC-RM,RM2H-PC,-1.22E+02,3.77E+01,0.1817,0.0751,0.0364,0.0028,0.7
CA-T6075061000-PC-C2,C2L-PC,-1.22E+02,3.77E+01,0.0143,0.011,0.126,0.1168,0.73
CA-T6075061000-PC-C3,C3L-PC,-1.22E+02,3.77E+01,0.2484,0.0184,0.0119,0.0698,0.65
CA-T6075061000-PC-MH,MH-PC,-1.22E+02,3.77E+01,0.0154,0.0314,0.0454,0.1735,0.73
CA-T6075061000-PC-PC,PC2L-PC,-1.22E+02,3.77E+01,0.0759,0.0404,0.1066,0.0108,0.77
CA-T6075061000-PC-RM,RM1L-PC,-1.22E+02,3.77E+01,0.2286,0.063,0.1309,0.072,0.51
CA-T6075061000-PC-S1,S1L-PC,-1.22E+02,3.77E+01,0.1638,0.1453,0.0234,0.1574,0.51
CA-T6075061000-PC-S2,S2L-PC,-1.22E+02,3.77E+01,0.0335,0.0681,0.0527,0.0223,0.82
CA-T6075061000-PC-S3,S3-PC,-1.22E+02,3.77E+01,0.1245,0.1361,0.0969,0.0733,0.57
CA-T6075061000-PC-S4,S4L-PC,-1.22E+02,3.77E+01,0.237,0.0148,0.0332,0.1155,0.6
CA-T6075061000-PC-S5,S5L-PC,-1.22E+02,3.77E+01,0.222,0.0656,0.0145,0.1776,0.52
CA-T6075061000-PC-UR,URML-PC,-1.22E+02,3.77E+01,0.2458,0.1892,0.0504,0.0965,0.42
CA-T6075061000-PC-W1,W1-PC,-1.22E+02,3.77E+01,0.1344,0.1037,0.1606,0.1382,0.46
CA-T6055201102-PC-C2,C2L-PC,-1.22E+02,3.83E+01,0.1887,0.0402,0.1472,0.0457,0.58
CA-T6055201102-PC-C3,C3L-PC,-1.22E+02,3.83E+01,0.0982,0.11,0.1085,0.0916,0.59
CA-T6055201102-PC-MH,MH-PC,-1.22E+02,3.83E+01,0.1819,0.112,0.061,0.1497,0.5
CA-T6055201102-PC-RM,RM1L-PC,-1.22E+02,3.83E+01,0.0283,0.0513,0.1516,0.0341,0.73
CA-T6055201102-PC-S3,S3-PC,-1.22E+02,3.83E+01,0.0489,0.021,0.0156,0.0315,0.88
CA-T6055201102-PC-S5,S5L-PC,-1.22E+02,3.83E+01,0.1306,0.1032,0.1661,0.019,0.58
CA-T6055201102-PC-UR,URML-PC,-1.22E+02,3.83E+01,0.093,0.0047,0.113,0.1432,0.65
CA-T6055201102-PC-W1,W1-PC,-1.22E+02,3.83E+01,0.1147,0.1377,0.0616,0.1011,0.58
CA-T6075023102-PC-C2,C2L-PC,-1.22E+02,3.77E+01,0.0936,0.1514,0.0686,0.0306,0.66
CA-T6075023102-PC-C3,C3L-PC,-1.22E+02,3.77E+01,0.1085,0.0669,0.0075,0.0926,0.72
CA-T6075023102-PC-MH,MH-PC,-1.22E+02,3.77E+01,0.2146,0.0792,0.12,0.0381,0.55
CA-T6075023102-PC-PC,PC2L-PC,-1.22E+02,3.77E+01,0.1006,0.1556,0.1098,0.0418,0.59
CA-T6075023102-PC-RM,RM1L-PC,-1.22E+02,3.77E+01,0.2471,0.0003,0.1866,0.1128,0.45
CA-T6075023102-PC-S1,S1L-PC,-1.22E+02,3.77E+01,0.013,0.0847,0.0202,0.1935,0.69
CA-T6075023102-PC-S2,S2L-PC,-1.22E+02,3.77E+01,0.0564,0.0202,0.1366,0.1808,0.61
CA-T6075023102-PC-S3,S3-PC,-1.22E+02,3.77E+01,0.009,0.0917,0.1679,0.0616,0.67
CA-T6075023102-PC-S4,S4L-PC,-1.22E+02,3.77E+01,0.1818,0.1917,0.1577,0.0283,0.44
CA-T6075023102-PC-S5,S5L-PC,-1.22E+02,3.77E+01,0.0178,0.1098,0.1263,0.0016,0.74
CA-T6075023102-PC-UR,URML-PC,-1.22E+02,3.77E+01,0.0839,0.1148,0.174,0.1387,0.49
CA-T6075023102-PC-W1,W1-PC,-1.22E+02,3.77E+01,0.2038,0.1723,0.1086,0.0518,0.46
CA-T6075023102-PC-S1,S1M-PC,-1.22E+02,3.77E+01,0.2024,0.1036,0.0314,0.017,0.65
CA-T6075023102-PC-S2,S2M-PC,-1.22E+02,3.77E+01,0.2213,0.0363,0.1377,0.0585,0.55
CA-T6075023102-PC-S4,S4M-PC,-1.22E+02,3.77E+01,0.1124,0.1911,0.0611,0.0186,0.62
CA-T6075023102-PC-C1,C1M-PC,-1.22E+02,3.77E+01,0.2132,0.0017,0.1038,0.0185,0.66
CA-T6075023102-PC-C2,C2M-PC,-1.22E+02,3.77E+01,0.1299,0.0387,0.1748,0.148,0.51
CA-T6075023102-PC-C3,C3M-PC,-1.22E+02,3.77E+01,0.16,0.1511,0.0852,0.1105,0.49
CA-T6075023102-PC-PC,PC2M-PC,-1.22E+02,3.77E+01,0.0751,0.1822,0.0725,0.1971,0.47
CA-T6075023102-PC-RM,RM1M-PC,-1.22E+02,3.77E+01,0.0245,0.124,0.1338,0.0409,0.68
